station_id;value_acum;valor_utm_x;valor_utm_y;lng;lat
1;0.0;484734.4889787605;2162357.42675194;-99.1455307006836;19.5560131072998
2;0.0;483693.9722333074;2157820.1600628663;-99.155411;19.515001
3;0.0;487417.65903031616;2155266.1512001664;-99.119904;19.491947
4;0.0;490543.624703616;2154466.6467275927;-99.090111;19.484739
5;0.0;489600.43408721883;2151595.150566651;-99.099083;19.458784
6;0.0;479971.8738773317;2157274.5174734965;-99.19088;19.510036
7;0.0;480736.0429946038;2154719.5589094823;-99.183571;19.486954
8;0.0;482626.0308764006;2152770.0163634224;-99.165543;19.469353
9;0.0;476037.8444358692;2149181.3040198865;-99.228271;19.436853
10;0.0;482083.1082707749;2149483.577060044;-99.170685;19.439648
11;0.0;486070.7743759798;2148578.3492963794;-99.13269;19.431499
12;0.0;485936.1960658126;2145472.8626889004;-99.133949;19.403433
13;0.0;492733.01783883467;2147422.324704185;-99.069221;19.421087
14;0.0;495019.5486501588;2149762.6370155695;-99.047447;19.442244
15;0.0;477078.24874167;2144802.4969926416;-99.218307;19.397293
16;0.0;472138.4365845377;2140942.743451714;-99.265297;19.362349
17;0.0;476795.7851870003;2138219.22158169;-99.220917;19.337795
18;0.0;480972.0240475891;2139317.1318545234;-99.181168;19.347761
19;0.0;482383.0783738582;2145025.7234124388;-99.167786;19.399364
20;0.0;486585.11736722785;2141295.7840017662;-99.127739;19.365688
21;0.0;471517.8798915771;2142222.1969475904;-99.271225;19.373903
22;0.0;467342.9029936733;2137760.81629588;-99.310905;19.333521
23;0.0;462919.390314882;2133555.940821027;-99.352936;19.295444
24;0.0;474874.16034960037;2135343.4793778406;-99.239174;19.311783
25;0.0;472197.3066809472;2132804.132479882;-99.264618;19.288799
26;0.0;470553.08779749216;2126285.64663843;-99.280167;19.229866
27;0.0;484810.53071453737;2137665.68311218;-99.144608;19.332869
28;0.0;489518.5026244791;2142786.4433816588;-99.099815;19.379177
29;0.0;496096.8199293064;2142839.934773745;-99.03717;19.379684
30;0.0;491883.7541502116;2138136.6204716978;-99.077271;19.337166
31;0.0;502613.99736485304;2138384.8481591204;-98.975113;19.339424
32;0.0;497229.07751275325;2134225.0327755543;-99.026375;19.30183
33;0.0;498647.6339996735;2132124.9315833175;-99.012871;19.282852
34;0.0;479493.13478309405;2133199.116342605;-99.195183;19.292456
35;0.0;486698.13084162265;2132554.6361361723;-99.126602;19.286692
36;0.0;482129.59374310955;2129934.883175145;-99.170059;19.262981
37;0.0;477856.89618630614;2125094.361791552;-99.210663;19.219193
38;0.0;486279.13171927095;2123338.6014815727;-99.130524;19.2034
39;0.0;481954.6933182923;2116023.3860353255;-99.171593;19.137255
40;0.0;489627.5507561998;2136066.475076209;-99.09874;19.318447
41;0.0;490119.4141566381;2128169.346907602;-99.094017;19.24708
42;0.0;496950.2117435654;2129588.792706408;-99.029022;19.25993
43;0.0;497118.1314111534;2121540.380683763;-99.027412;19.187193
44;0.0;480623.2257534965;2165128.204874264;-99.184753;19.581017
45;0.0;477579.2890351604;2157388.214579676;-99.213684;19.511038
46;0.0;495681.1069992296;2166560.974043743;-99.041183;19.594055
47;0.0;488629.8736524873;2157898.2486747555;-99.108368;19.515741
48;0.0;473233.6252374288;2148423.828318825;-99.254974;19.429972
49;0.0;464872.5089021489;2143319.5894703325;-99.334526;19.383715
50;0.0;485652.12327765726;2152929.24249641;-99.136711;19.470816
51;0.0;491369.2127272765;2149666.083812093;-99.082222;19.441359
52;0.0;489899.1967454358;2146051.2564777527;-99.096207;19.408684
53;0.0;497822.81265391037;2139018.3834786317;-99.020729;19.34515
54;0.0;468647.0988288578;2145854.170654952;-99.298622;19.406683
55;0.0;469880.7413486021;2141099.936916926;-99.286797;19.363737
56;0.0;467362.0837050558;2135513.08095013;-99.310684;19.313208
57;0.0;471200.9532574736;2137390.7994513004;-99.27417;19.330236
58;0.0;500201.12072971405;2140247.0447703707;-98.998085;19.356255
59;0.0;503007.3819572612;2124185.49381353;-98.97139;19.211098
60;0.0;472182.39020083094;2134594.9561430234;-99.264786;19.304983
61;0.0;490511.4289459709;2121915.944040108;-99.090256;19.190567
62;0.0;487183.0521280098;2164141.027039893;-99.1222;19.572149
63;0.0;503039.96876023046;2116570.2392691313;-98.971092;19.142275
64;0.0;512041.52061524626;2154600.9729050905;-98.885254;19.485939
65;0.0;471946.4800230417;2158670.0861395258;-99.267387;19.522551
68;0.0;508678.6601494719;2164885.910686898;-98.917252;19.578903
70;0.0;515900.07570406917;2143402.405842049;-98.848579;19.384708
71;0.0;494229.0087653909;2171910.904319827;-99.055046;19.642399
73;0.0;478783.12317429227;2147772.903120086;-99.202103;19.424156
74;0.0;482894.4474509229;2142726.8612081627;-99.162895;19.378593
75;0.0;484026.8434349185;2134087.316011943;-99.152039;19.300524
76;0.0;492759.86102613073;2142613.680081113;-99.068947;19.37763
77;0.0;477662.85694152984;2140777.865650432;-99.212692;19.360928
78;0.0;479646.31403028365;2126786.79526536;-99.193657;19.234507
