station_id;value_acum;valor_utm_x;valor_utm_y;lng;lat
1;0.0;484734.4889787605;2162357.426751941;-99.1455307006836;19.556013107299805
2;0.0;483693.9967517558;2157820.1929046907;-99.15541076660156;19.51500129699707
3;0.0;487417.70474871;2155266.1704300297;-99.11990356445312;19.491947174072266
4;0.0;490543.64793339185;2154466.6803086633;-99.0901107788086;19.484739303588867
5;0.0;489600.43967996386;2151595.1620042874;-99.09908294677734;19.458784103393555
6;0.0;479971.8926351189;2157274.569294942;-99.19087982177734;19.51003646850586
7;0.0;480736.05746434117;2154719.5296095447;-99.1835708618164;19.486953735351562
8;0.0;482626.07256096555;2152769.9855800755;-99.16554260253906;19.46935272216797
9;0.0;476037.79364962515;2149181.3493240424;-99.228271484375;19.436853408813477
10;0.0;482083.12771206757;2149483.5410297243;-99.17068481445312;19.439647674560547
11;0.0;486070.72931019496;2148578.4025775967;-99.1326904296875;19.431499481201172
12;0.0;485936.16667685745;2145472.845678842;-99.13394927978516;19.403432846069336
13;0.0;492732.9657182548;2147422.3540497757;-99.06922149658203;19.42108726501465
14;0.0;495019.5271616883;2149762.59011006;-99.04744720458984;19.442243576049805
15;0.0;477078.19676798186;2144802.507107986;-99.21830749511719;19.397293090820312
16;0.0;472138.44322684745;2140942.69436881;-99.26529693603516;19.362348556518555
17;0.0;476795.811687614;2138219.2500484856;-99.22091674804688;19.33779525756836
18;0.0;480972.0658106751;2139317.148870607;-99.18116760253906;19.347761154174805
19;0.0;482383.1157476138;2145025.7755418834;-99.16778564453125;19.399364471435547
20;0.0;486585.12236773066;2141295.8198466613;-99.12773895263672;19.36568832397461
21;0.0;471517.8825030882;2142222.227321886;-99.27122497558594;19.373903274536133
23;0.0;462919.4123817145;2133555.9948331327;-99.35293579101562;19.29544448852539
24;0.0;474874.17196874914;2135343.461315931;-99.23917388916016;19.311782836914062
25;0.0;472197.3151428467;2132804.164101255;-99.26461791992188;19.288799285888672
26;0.0;470553.1271143796;2126285.649654776;-99.28016662597656;19.22986602783203
27;0.0;484810.5785789162;2137665.636161184;-99.14460754394531;19.332868576049805
28;0.0;489518.4639185281;2142786.4537506932;-99.09981536865234;19.37917709350586
29;0.0;496096.7768699301;2142839.9843820846;-99.03717041015625;19.379684448242188
30;0.0;491883.8058394237;2138136.6019165744;-99.0772705078125;19.33716583251953
31;0.0;502614.0062865727;2138384.862910387;-98.97511291503906;19.33942413330078
32;0.0;497229.0967544844;2134225.0650549666;-99.02637481689453;19.301830291748047
33;0.0;498647.6562157643;2132124.9507079013;-99.01287078857422;19.282852172851562
34;0.0;479493.1557246421;2133199.080159942;-99.19518280029297;19.292455673217773
35;0.0;486698.1126533624;2132554.5991530484;-99.12660217285156;19.286691665649414
36;0.0;482129.5723402809;2129934.929093759;-99.17005920410156;19.262981414794922
37;0.0;477856.9127490239;2125094.306986207;-99.21066284179688;19.219192504882812
38;0.0;486279.1651573663;2123338.563636514;-99.13052368164062;19.203399658203125
39;0.0;481954.7235321521;2116023.354466647;-99.17159271240234;19.13725471496582
40;0.0;489627.59025898564;2136066.487561447;-99.09873962402344;19.31844711303711
41;0.0;490119.4111200131;2128169.3302278626;-99.0940170288086;19.247079849243164
42;0.0;496950.1889550376;2129588.754755001;-99.02902221679688;19.259929656982422
43;0.0;497118.08782730054;2121540.3714922904;-99.02741241455078;19.187192916870117
44;0.0;480623.1818621426;2165128.154078564;-99.18475341796875;19.581016540527344
45;0.0;477579.28040412324;2157388.1953960424;-99.21368408203125;19.511037826538086
46;0.0;495681.05753849924;2166560.9935067426;-99.04118347167969;19.59405517578125
47;0.0;488629.88207875646;2157898.2872066023;-99.10836791992188;19.5157413482666
48;0.0;473233.58684609615;2148423.7946202205;-99.25497436523438;19.42997169494629
50;0.0;485652.1105899949;2152929.204725903;-99.13671112060547;19.470815658569336
51;0.0;491369.21429324517;2149666.0358192874;-99.08222198486328;19.44135856628418
52;0.0;489899.23189933936;2146051.2317665527;-99.09620666503906;19.40868377685547
53;0.0;497822.80583296926;2139018.3828040836;-99.0207290649414;19.345149993896484
54;0.0;468647.0850322084;2145854.167153363;-99.29862213134766;19.40668296813965
55;0.0;469880.7865452433;2141099.948606961;-99.28679656982422;19.363737106323242
56;0.0;467362.06218950177;2135513.039642349;-99.31068420410156;19.313207626342773
57;0.0;471200.9615400691;2137390.84756523;-99.274169921875;19.330236434936523
58;0.0;500201.11842257925;2140246.9980349676;-98.99808502197266;19.35625457763672
59;0.0;503007.4060858091;2124185.462535;-98.97138977050781;19.211097717285156
60;0.0;472182.41474460217;2134594.971490457;-99.26478576660156;19.304983139038086
61;0.0;490511.45656397473;2121915.9458627733;-99.09025573730469;19.190567016601562
62;0.0;487183.05086955347;2164141.0576627175;-99.12220001220703;19.5721492767334
64;0.0;512041.53045153053;2154600.975775263;-98.88525390625;19.485939025878906
65;0.0;471946.43901873997;2158670.0400475613;-99.26738739013672;19.522550582885742
66;0.0;473682.2361678262;2170936.0824275874;-99.25101470947266;19.6334228515625
67;0.0;513305.2433771699;2132349.67109196;-98.87336730957031;19.284839630126953
68;0.0;508678.7034635812;2164885.9326443337;-98.91725158691406;19.578903198242188
69;0.0;513502.0479961113;2122029.264238468;-98.87156677246094;19.19156837463379
72;0.0;480234.0946957076;2186589.869200157;-99.18869018554688;19.774961471557617
73;0.0;478783.15877338755;2147772.9239879665;-99.20210266113281;19.424156188964844
74;0.0;482894.4262184934;2142726.9104492394;-99.16289520263672;19.37859344482422
75;0.0;484026.88814391673;2134087.2891877545;-99.15203857421875;19.30052375793457
76;0.0;492759.87800832855;2142613.705940958;-99.0689468383789;19.37763023376465
77;0.0;477662.829501056;2140777.81940773;-99.21269226074219;19.36092758178711
78;0.0;479646.3222442872;2126786.7517764335;-99.19365692138672;19.234506607055664
79;0.0;500631.75251130643;2130078.146734698;-98.99398803710938;19.264354705810547
80;0.0;481815.62423180847;2136689.1020356254;-99.17311096191406;19.324018478393555
81;0.0;475350.1054928652;2141138.9716102458;-99.2347183227539;19.364164352416992
82;0.0;492557.8711357393;2132548.5208418635;-99.07083129882812;19.286666870117188
84;0.0;494135.5423770855;2125389.7672701036;-99.05579376220703;19.221975326538086
85;0.0;476107.02114597516;2153078.196649035;-99.2276611328125;19.472070693969727
86;0.0;475343.54262346047;2134527.31150648;-99.23469543457031;19.304412841796875
88;0.0;482582.0970451314;2122727.764410333;-99.16568756103516;19.197851181030273
89;0.0;474703.40772669006;2130112.5530834426;-99.24073028564453;19.264507293701172
